断面端点,b,c,d
3311671.96,457090.19,,
3311573.86,457506.37,,
,,,
,,,
起点距,X,Y,Z
33.1,3311664.4,457122.42,-21.5
37.49,3311663.4,457126.69,-21.6
42.29,3311662.3,457131.36,-21.4
47.09,3311661.19,457136.03,-21.5
51.89,3311660.09,457140.7,-21.3
56.68,3311658.99,457145.37,-20.5
61.49,3311657.89,457150.05,-19.5
66.29,3311656.79,457154.72,-18.1
71.09,3311655.69,457159.39,-17.9
75.88,3311654.59,457164.06,-18.1
80.68,3311653.49,457168.73,-17
85.49,3311652.38,457173.41,-16.4
90.29,3311651.28,457178.08,-15.7
95.09,3311650.18,457182.75,-15.5
99.89,3311649.08,457187.42,-16.1
104.68,3311647.98,457192.09,-15.5
109.49,3311646.88,457196.77,-14.1
114.29,3311645.78,457201.44,-12.5
119.09,3311644.68,457206.11,-11
123.89,3311643.57,457210.78,-9.4
128.69,3311642.47,457215.46,-8.7
133.49,3311641.37,457220.13,-7
138.29,3311640.27,457224.8,-4.7
143.09,3311639.17,457229.47,-3.1
147.89,3311638.07,457234.14,-0.4
152.69,3311636.97,457238.82,1.8
158.99,3311634.97,457244.82,4.8
167.67,3311633.92,457253.49,7.3
170.75,3311632.78,457256.38,8.5
176.02,3311631.5,457261.5,11.71
180.15,3311630.5,457265.5,11.75
185.24,3311629.5,457270.5,11.71
189.36,3311628.5,457274.5,12.28
194.46,3311627.5,457279.5,13.03
198.58,3311626.5,457283.5,13.55
202.71,3311625.5,457287.5,14.04
206.83,3311624.5,457291.5,14.21
211.92,3311623.5,457296.5,14.36
216.05,3311622.5,457300.5,14.72
220.17,3311621.5,457304.5,14.98
224.29,3311620.5,457308.5,15.16
227.44,3311619.5,457311.5,15.22
230.36,3311619.5,457314.5,15.45
233.51,3311618.5,457317.5,15.34
237.63,3311617.5,457321.5,15.56
241.76,3311616.5,457325.5,15.97
246.85,3311615.5,457330.5,16.54
250.98,3311614.5,457334.5,16.94
255.1,3311613.5,457338.5,17.32
259.22,3311612.5,457342.5,17.73
263.34,3311611.5,457346.5,18
268.44,3311610.5,457351.5,18.21
272.56,3311609.5,457355.5,18.54
276.69,3311608.5,457359.5,18.72
280.81,3311607.5,457363.5,19
285.9,3311606.5,457368.5,19.36
290.03,3311605.5,457372.5,19.62
294.15,3311604.5,457376.5,19.76
298.27,3311603.5,457380.5,19.98
303.37,3311602.5,457385.5,20.14
307.49,3311601.5,457389.5,20.09
311.61,3311600.5,457393.5,20.17
315.74,3311599.5,457397.5,20.51
320.83,3311598.5,457402.5,20.68
323.98,3311597.5,457405.5,20.75
328.11,3311596.5,457409.5,20.78
333.2,3311595.5,457414.5,20.93
338.3,3311594.5,457419.5,21.05
342.42,3311593.5,457423.5,21.06
346.54,3311592.5,457427.5,21.18
350.67,3311591.5,457430.5,21.3
354.79,3311590.5,457435.5,21.72
359.88,3311589.5,457440.5,21.8
364.01,3311588.5,457444.5,22.01
368.13,3311587.5,457448.5,21.99
372.25,3311586.5,457452.5,21.12
376.38,3311585.5,457456.5,18.98
380.5,3311584.5,457460.5,17.73
385.59,3311583.5,457465.5,17.39
389.72,3311582.5,457469.5,17.14
394.81,3311581.5,457474.5,15.33
398.94,3311580.5,457478.5,15.15
403.06,3311579.5,457482.5,15.1
407.18,3311578.5,457486.5,15.05
411.3,3311577.5,457490.5,14.7
